awayTeamName,homeTeamName,awayScore,homeScore,awayOdds,homeOdds,Betmakers,Date
New Orleans Pelicans,Miami Heat,88,94,163,-189,15,12/25/2015
New Orleans Pelicans,New York Knicks,87,95,106,-122,14,11/15/2015
Philadelphia 76ers,New York Knicks,113,119,426,-556,14,1/18/2016
Minnesota Timberwolves,Brooklyn Nets,100,85,-119,102,15,12/20/2015
Portland Trail Blazers,Miami Heat,109,116,177,-208,15,12/20/2015
Denver Nuggets,Philadelphia 76ers,108,105,-156,137,15,12/5/2015
Utah Jazz,Charlotte Hornets,119,124,138,-159,15,1/18/2016
Portland Trail Blazers,Washington Wizards,108,98,152,-179,15,1/18/2016
Milwaukee Bucks,Charlotte Hornets,82,87,234,-278,16,11/29/2015
New Orleans Pelicans,Memphis Grizzlies,99,101,171,-200,14,1/18/2016
Chicago Bulls,Oklahoma City Thunder,105,96,409,-526,15,12/25/2015
Toronto Raptors,Orlando Magic,106,103,-189,162,15,1/14/2016
Brooklyn Nets,Boston Celtics,100,97,404,-500,15,1/2/2016
Chicago Bulls,Los Angeles Clippers,93,120,154,-182,15,1/31/2016
Dallas Mavericks,Houston Rockets,104,115,142,-164,15,1/24/2016
Chicago Bulls,Detroit Pistons,111,101,133,-154,15,1/18/2016
Phoenix Suns,Minnesota Timberwolves,87,117,152,-179,15,1/17/2016
New Orleans Pelicans,Los Angeles Clippers,111,114,419,-526,15,1/10/2016
Charlotte Hornets,Los Angeles Clippers,83,97,334,-417,15,1/9/2016
Atlanta Hawks,New York Knicks,97,111,-192,164,15,1/3/2016
Chicago Bulls,Toronto Raptors,115,113,150,-172,15,1/3/2016
Philadelphia 76ers,Cleveland Cavaliers,86,108,1538,-5000,15,12/20/2015
Minnesota Timberwolves,Phoenix Suns,101,108,194,-227,15,12/13/2015
Phoenix Suns,Memphis Grizzlies,93,95,198,-233,15,12/6/2015
Minnesota Timberwolves,Los Angeles Clippers,99,107,426,-556,16,11/29/2015
Toronto Raptors,Los Angeles Clippers,91,80,225,-270,16,11/22/2015
Memphis Grizzlies,Minnesota Timberwolves,114,106,-189,163,16,11/15/2015
Detroit Pistons,Los Angeles Clippers,96,101,119,-137,16,11/14/2015
Indiana Pacers,Cleveland Cavaliers,97,101,308,-385,16,11/8/2015
Los Angeles Lakers,New York Knicks,95,99,189,-227,16,11/8/2015
Washington Wizards,Brooklyn Nets,111,96,-147,129,15,12/26/2015
Portland Trail Blazers,Houston Rockets,96,79,165,-192,16,2/6/2016
Golden State Warriors,Philadelphia 76ers,108,105,-5000,1641,15,1/30/2016
Orlando Magic,Atlanta Hawks,81,98,294,-357,15,1/18/2016
Dallas Mavericks,Minnesota Timberwolves,93,87,-182,154,15,1/10/2016
Chicago Bulls,Atlanta Hawks,105,120,121,-139,15,1/9/2016
Phoenix Suns,Sacramento Kings,119,142,218,-250,14,1/2/2016
Toronto Raptors,Milwaukee Bucks,111,90,-149,129,15,12/26/2015
Cleveland Cavaliers,Golden State Warriors,83,89,236,-286,15,12/25/2015
Milwaukee Bucks,Phoenix Suns,101,95,239,-286,15,12/20/2015
Los Angeles Lakers,Oklahoma City Thunder,78,118,1370,-3333,15,12/19/2015
Los Angeles Clippers,Brooklyn Nets,105,100,-278,236,15,12/12/2015
Golden State Warriors,Toronto Raptors,112,109,-323,266,15,12/5/2015
Sacramento Kings,Orlando Magic,97,91,131,-152,16,11/21/2015
Portland Trail Blazers,Charlotte Hornets,94,106,163,-189,16,11/15/2015
Atlanta Hawks,Miami Heat,87,105,-147,127,15,1/31/2016
Boston Celtics,Orlando Magic,114,119,-175,149,15,1/31/2016
Los Angeles Clippers,Toronto Raptors,94,112,122,-141,15,1/24/2016
Boston Celtics,Memphis Grizzlies,98,101,-141,123,15,1/10/2016
Cleveland Cavaliers,Philadelphia 76ers,95,85,-3333,1575,15,1/10/2016
Miami Heat,Washington Wizards,97,75,-115,-101,15,1/3/2016
Minnesota Timberwolves,Detroit Pistons,90,115,301,-370,15,12/31/2015
Milwaukee Bucks,Indiana Pacers,120,116,206,-244,15,12/31/2015
Los Angeles Lakers,Memphis Grizzlies,96,112,434,-556,15,12/27/2015
Atlanta Hawks,Orlando Magic,103,100,-116,100,15,12/20/2015
Sacramento Kings,Toronto Raptors,104,94,197,-233,15,12/20/2015
Memphis Grizzlies,Miami Heat,97,100,127,-147,15,12/13/2015
Philadelphia 76ers,Toronto Raptors,76,96,679,-909,15,12/13/2015
Golden State Warriors,Brooklyn Nets,114,98,-714,534,15,12/6/2015
Los Angeles Lakers,Detroit Pistons,91,111,419,-526,15,12/6/2015
Dallas Mavericks,Washington Wizards,116,104,-125,110,15,12/6/2015
Detroit Pistons,Brooklyn Nets,83,87,-200,171,16,11/29/2015
Philadelphia 76ers,Memphis Grizzlies,84,92,814,-1250,16,11/29/2015
Boston Celtics,Orlando Magic,91,110,-133,114,16,11/29/2015
Phoenix Suns,Toronto Raptors,107,102,139,-159,16,11/29/2015
Boston Celtics,Brooklyn Nets,101,111,-233,194,16,11/22/2015
Phoenix Suns,New Orleans Pelicans,116,122,-102,-114,16,11/22/2015
Utah Jazz,Atlanta Hawks,97,96,136,-159,16,11/15/2015
Toronto Raptors,Miami Heat,76,96,122,-143,16,11/8/2015
Minnesota Timberwolves,Chicago Bulls,102ÿ,93,383,-500,16,11/7/2015
Detroit Pistons,Toronto Raptors,107,111,292,-357,15,1/30/2016
Washington Wizards,Charlotte Hornets,104,108,181,-213,16,2/6/2016
Detroit Pistons,Indiana Pacers,104,112,152,-179,16,2/6/2016
Indiana Pacers,Atlanta Hawks,96,102,179,-213,16,2/5/2016
Miami Heat,Charlotte Hornets,98,95,145,-169,16,2/5/2016
Los Angeles Clippers,Orlando Magic,107,93,-159,135,16,2/5/2016
Philadelphia 76ers,Washington Wizards,94,106,359,-455,16,2/5/2016
New York Knicks,Detroit Pistons,105,111,152,-175,16,2/4/2016
Cleveland Cavaliers,Charlotte Hornets,97,106,-385,305,16,2/3/2016
Atlanta Hawks,Philadelphia 76ers,124,86,-357,296,16,2/3/2016
Cleveland Cavaliers,Indiana Pacers,111ÿ,106,-217,181,15,2/1/2016
Phoenix Suns,Dallas Mavericks,78,91,359,-455,15,1/31/2016
Denver Nuggets,Indiana Pacers,105ÿ,109,384,-476,15,1/30/2016
Brooklyn Nets,New Orleans Pelicans,103,105,338,-417,15,1/30/2016
Atlanta Hawks,Indiana Pacers,92,111,123,-141,15,1/28/2016
